Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for UK
Areal series, starting in 1960
Last updated 01-Sep-2024 11:40
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1960   15.8   16.6    5.4    2.7    0.6    0.0    0.0    0.0    0.3    0.7    5.2   14.4     ---     8.7     0.0     6.2    61.7
1961   14.5    3.8    4.2    2.5    1.2    0.1    0.0    0.0    0.0    0.7    7.6   19.7    32.7     7.9     0.2     8.3    54.3
1962   10.5   11.4   20.9    5.6    1.1    0.5    0.0    0.0    0.1    1.6    9.4   18.0    41.6    27.5     0.6    11.1    79.1
1963   27.4   26.1    8.7    3.3    0.8    0.0    0.0    0.0    0.1    0.3    5.1   15.0    71.6    12.8     0.0     5.5    86.9
1964   11.6   10.8   11.1    3.0    0.0    0.3    0.0    0.1    0.3    2.7    5.7   16.7    37.5    14.1     0.4     8.7    62.3
1965   16.7   13.6   13.9    4.5    1.4    0.0    0.0    0.0    0.0    0.7   14.0   12.0    47.0    19.8     0.1    14.8    77.1
1966   16.1    9.7    6.7    7.2    0.6    0.0    0.0    0.0    0.0    1.9    8.2    9.2    37.8    14.5     0.1    10.1    59.7
1967   11.0    8.1    5.1    4.6    2.5    0.0    0.0    0.0    0.0    1.1    8.0   12.7    28.3    12.2     0.0     9.1    53.1
1968   13.1   21.8    8.9    9.8    2.6    0.0    0.0    0.0    0.0    0.2    6.1   15.0    47.6    21.4     0.0     6.4    77.7
1969    9.3   20.2   17.0    8.5    0.9    0.1    0.0    0.0    0.4    0.2   13.2   15.2    44.5    26.4     0.2    13.8    84.9
1970   12.3   17.3   17.1   10.5    0.1    0.0    0.0    0.0    0.1    1.1    4.7   12.3    44.7    27.8     0.0     5.8    75.5
1971    9.2    9.1   10.7    4.7    1.3    0.1    0.0    0.0    0.2    2.0   11.1    5.1    30.6    16.7     0.1    13.3    53.5
1972   11.4    8.4    8.3    1.8    0.3    0.1    0.0    0.0    0.8    1.2    9.4    7.7    24.8    10.5     0.1    11.3    49.3
1973   10.5   12.6   10.8    6.5    1.5    0.1    0.0    0.1    0.1    3.9   10.5   12.1    30.7    18.9     0.2    14.4    68.6
1974    6.2    7.4    9.3    5.2    1.3    0.1    0.0    0.0    0.9    1.9    4.4    3.6    25.7    15.8     0.1     7.2    40.3
1975    7.2    9.9   12.2    6.9    2.1    0.5    0.0    0.0    0.7    1.2    7.5    8.8    20.6    21.2     0.5     9.4    56.9
1976   10.6   10.4   12.7    4.8    0.4    0.0    0.0    0.0    0.1    0.6    7.0   19.6    29.8    17.9     0.0     7.8    66.3
1977   16.6    9.6    5.2    7.2    2.2    0.2    0.0    0.1    0.2    0.1    8.8    5.1    45.8    14.6     0.3     9.1    55.4
1978   15.6   16.9    7.1    7.8    0.6    0.2    0.0    0.0    0.0    0.2    5.9   12.8    37.6    15.6     0.2     6.1    67.2
1979   25.9   21.0   13.6    5.7    5.6    0.0    0.0    0.0    0.5    0.5    8.3   10.2    59.7    25.0     0.0     9.3    91.3
1980   18.4    7.1   11.5    3.3    1.6    0.1    0.0    0.0    0.0    3.0    8.0   10.3    35.6    16.4     0.1    11.0    63.2
1981   13.4   17.3    6.0    6.4    1.9    0.1    0.0    0.0    0.1    4.7    4.1   21.7    40.9    14.3     0.1     8.8    75.6
