Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for UK
Areal series, starting in 1891
Last updated 01-Sep-2024 11:40
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1891   13.6    3.5   13.2    8.8   15.3    8.9   15.3   21.5   15.5   18.7   15.3   18.7     ---    37.2    45.8    49.6   168.4
1892   15.3   13.7    7.4    8.8   13.7   13.7    9.9   15.8   15.0   19.2   13.9   12.0    47.7    29.9    39.4    48.1   158.3
1893   14.5   18.2    7.1    5.0    9.7    8.4   15.3   14.3   14.1   16.9   13.7   17.3    44.6    21.8    38.0    44.7   154.4
1894   19.7   16.7   10.4   12.6   15.9   12.9   16.4   16.8    6.6   15.2   14.9   15.7    53.7    39.0    46.1    36.7   173.8
1895   17.4    4.3   16.5   11.5    5.5    9.1   16.2   18.0    7.0   16.8   17.5   16.4    37.4    33.5    43.3    41.3   156.2
1896   10.3    7.5   19.5   11.4    3.9   14.2   12.3   14.2   20.7   18.6    8.8   20.1    34.1    34.8    40.6    48.1   161.3
1897   12.5   13.2   20.3   13.8   11.1   12.8    8.7   18.9   14.2    9.0   12.3   16.7    45.8    45.2    40.4    35.5   163.5
1898   11.1   15.2   11.6   13.4   16.3   12.2    6.7   14.8    8.4   15.5   14.1   17.5    43.0    41.4    33.6    38.0   156.8
1899   18.6   11.2   11.1   17.9   12.7    8.3   10.8    7.7   18.1   11.0   13.0   15.9    47.3    41.6    26.8    42.1   156.2
1900   21.5   16.6    8.3   12.8   11.1   15.8   13.7   15.0   10.4   18.8   18.8   21.0    54.0    32.2    44.5    48.0   183.8
1901   14.0   10.7   14.1   14.2    8.2   11.4    9.6   13.3   11.6   16.9   10.2   19.8    45.7    36.5    34.3    38.8   154.0
1902   12.8   10.0   14.6   11.1   18.1   13.5   13.2   16.2   11.3   14.9   13.4   13.8    42.5    43.8    43.0    39.6   162.9
