Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for UK
Areal series, starting in 1836
Last updated 01-Sep-2024 11:40
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836  101.5   69.8  122.2   75.1   13.8   76.5  109.2   63.1  113.2  120.8  150.0  108.6     ---   211.1   248.8   384.1  1123.8
1837   79.5  104.7   36.2   54.1   39.9   57.9   87.5   90.7   67.5   97.0   97.8   96.0   292.8   130.2   236.1   262.3   908.9
1838   35.4   55.5   69.4   57.1   61.8  117.8   84.2   92.8   74.9   93.7  120.5   74.3   186.9   188.3   294.9   289.1   937.4
1839   75.7   67.2   83.1   38.4   35.5   93.7  118.5   84.3  145.1  102.1  116.0  103.9   217.2   157.0   296.5   363.2  1063.6
1840  124.6   67.9   14.2   23.2   83.6   68.6   90.3   78.0  106.1   65.9  126.3   41.0   296.5   121.0   237.0   298.3   889.8
1841   80.0   58.6   74.3   56.6   70.4   70.1   91.3  118.0  118.6  151.4  108.5  123.7   179.6   201.2   279.4   378.5  1121.4
1842   77.9   68.4  110.9   11.2   65.8   63.1   77.9   64.3   90.0   63.9  138.3   91.5   270.0   188.0   205.4   292.3   923.5
1843  104.4   57.4   42.4   96.9   99.1   68.2   92.0   96.5   27.4  163.2  115.7   41.0   253.3   238.4   256.7   306.4  1004.3
1844   82.3   94.9   90.2   30.6   11.6   66.7   74.0   85.0   65.1   91.8  112.1   26.1   218.2   132.4   225.7   269.0   830.4
1845   90.9   47.6   63.8   52.4   53.3   82.2   84.5  108.2   86.8  117.8  105.9  135.1   164.6   169.5   274.9   310.5  1028.5
1846  109.7   60.1   81.1   96.3   49.0   74.7  114.8  114.7   64.1  157.0   85.8   54.5   305.0   226.4   304.2   306.9  1061.8
1847   63.0   53.8   43.5   65.1   92.6   70.0   48.6   60.6   80.6  131.2  103.8  149.3   171.3   201.2   179.3   315.5   962.2
1848   60.6  171.1  106.1   74.7   34.6  122.7   93.2  111.7   78.7  132.7   92.7  100.6   381.1   215.5   327.5   304.1  1179.5
1849  130.7   76.3   41.4   74.2   74.6   46.1   95.8   71.2   92.4   97.5   92.2   94.5   307.7   190.2   213.1   282.1   986.9
1850   69.9  105.3   31.2   86.1   64.1   52.6   88.5   91.2   69.4   86.4  116.5   88.3   269.7   181.4   232.3   272.3   949.4
1851  144.9   55.5  116.3   52.9   36.1   81.0   99.3   82.6   38.8   95.7   50.2   53.7   288.6   205.4   262.9   184.8   907.0
1852  174.3   90.8   18.9   21.5   60.3  113.1   79.4  119.6   92.6  108.0  186.5  191.3   318.8   100.7   312.0   387.0  1256.2
1853  128.5   55.5   43.9   69.3   35.3   88.2  113.3   79.9   74.9  137.1   79.2   36.1   375.2   148.5   281.4   291.2   941.1
1854  105.6   58.8   45.0   24.0   82.2   78.4   81.5   70.3   52.1  103.0   84.3  118.3   200.5   151.2   230.2   239.5   903.6
1855   28.5   42.2   70.8   38.8   52.4   73.8  107.8   81.4   36.8  143.6   43.5   67.5   189.1   162.0   263.1   223.9   787.2
1856   81.2   81.0   19.2   73.6   79.2   84.3   73.2   96.1  107.0   65.6   57.5  113.8   229.7   172.0   253.6   230.0   931.6
1857   99.5   53.2   83.0   75.9   48.5   67.7   72.3   84.1   93.6   90.5   67.9   79.0   266.6   207.4   224.1   251.9   915.2
1858   65.6   31.9   51.3   75.9   76.8   57.0   94.4   76.2   82.1  108.8   49.4  107.2   176.6   203.9   227.5   240.3   876.6
